* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 10:11:03 AM PST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 11:14:22 AM PST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 11:37:51 AM PST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 10:01:48 AM PST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 11:25:41 AM PST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 11:04:04 AM PST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 11:46:31 AM PST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 10:34:56 AM PST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 10:52:46 AM PST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIU
* Experiment Comments = 
* Experiment File Name = D:\Documents and Settings\INSTR-ADMIN\Desktop\6_30_13 apap\2013-06-30 200940\506.eds
* Experiment Name = _C300FKIU
* Experiment Run End Time = 2013-07-01 11:30:01 AM PDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Tm1	MTP
213	hsa-mir-370	20.171	0.040	82.997	Y
214	hsa-let-7f-2-3p	24.610	0.040	75.085	N
215	hsa-mir-23b-3p	16.741	0.040	75.621	N
216	hsa-mir-378h	20.538	0.040	76.158	N
217	hsa-mir-122-5p	9.883	0.040	75.621	N
218	hsa-mir-424-3p	22.014	0.040	79.510	N
219	hsa-mir-542-5p	24.190	0.040	78.974	N
220	hsa-mir-433	20.921	0.040	80.181	N
221	hsa-mir-140-3p	19.450	0.040	76.158	N
222	hsa-mir-1976	18.658	0.040	81.119	N
223	hsa-mir-24-3p	15.058	0.040	76.560	N
224	hsa-let-7d-5p	20.467	0.040	75.487	N
225	hsa-mir-215	19.837	0.040	75.621	N
226	hsa-mir-548d-5p	20.046	0.040	75.755	N
227	hsa-mir-130b-3p	18.036	0.040	76.024	N
228	hsa-mir-1183	16.667	0.040	77.499	N
229	hsa-let-7a-5p	22.377	0.040	74.951	N
230	hsa-mir-4505	15.790	0.040	76.962	N
231	hsa-mir-208a	18.973	0.040	75.621	N
232	hsa-mir-211-5p	23.645	0.040	76.158	N
233	hsa-mir-1247-5p	18.241	0.040	78.035	N
234	hsa-mir-378g	15.817	0.040	76.560	N
235	hsa-mir-485-3p	20.284	0.040	78.840	N
236	hsa-mir-9-5p	27.931	0.040	75.219	N
237	hsa-mir-148a-3p	11.460	0.040	75.621	N
238	hsa-mir-5095	20.282	0.040	77.365	N
239	hsa-mir-409-3p	24.415	0.040	77.230	N
240	hsa-mir-361-5p	20.816	0.040	75.353	N
241	hsa-mir-331-3p	22.536	0.040	78.571	N
242	hsa-mir-30c-5p	20.064	0.040	75.755	N
243	hsa-mir-487b	22.043	0.040	79.242	N
244	hsa-mir-32-5p	23.406	0.040	75.487	N
245	hsa-mir-3176	19.745	0.040	78.974	N
246	hsa-mir-192-5p	14.858	0.040	76.024	N
247	hsa-mir-181a-5p	23.007	0.040	77.901	N
248	hsa-mir-1287	21.603	0.040	77.767	N
249	hsa-mir-378e	19.647	0.040	76.560	N
250	hsa-mir-320b	16.556	0.040	76.828	N
251	hsa-mir-671-3p	19.396	0.040	76.426	N
252	hsa-mir-374a-5p	24.096	0.040	75.219	N
253	hsa-mir-450a-5p	28.268	0.040	76.426	N
254	hsa-mir-3613-3p	21.908	0.040	76.962	N
255	hsa-mir-342-3p	20.418	0.040	76.426	N
256	hsa-mir-3689a-5p	22.329	0.040	79.242	N
257	hsa-mir-4302	19.825	0.040	76.694	N
258	hsa-mir-183-5p	25.180	0.040	78.706	N
259	hsa-mir-27b-3p	14.429	0.040	75.755	N
260	hsa-mir-15b-5p	17.928	0.040	75.755	N
261	hsa-mir-424-5p	18.955	0.040	75.621	N
262	hsa-mir-373-5p	20.567	0.040	76.024	N
263	hsa-mir-374b-5p	23.214	0.040	75.353	N
264	hsa-mir-375	19.345	0.040	77.230	N
265	hsa-mir-574-3p	15.149	0.040	76.962	N
266	hsa-mir-4524a-3p	22.504	0.040	75.889	N
267	hsa-mir-191-3p	22.292	0.040	78.035	N
