* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAW
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\18.eds
* Experiment Name = _C3009UAW
* Experiment Run End Time = 2013-04-26 21:56:20 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP	EXPFAIL	MTP
242	hsa-mir-30c-5p	25.730	3	23	N	N	N
243	hsa-mir-487b	27.947	3	25	N	N	N
244	hsa-mir-32-5p	25.888	3	23	N	N	N
245	hsa-mir-3176	30.692	3	28	N	N	Y
246	hsa-mir-192-5p	25.407	3	22	N	N	N
247	hsa-mir-181a-5p	39.703	3	35	N	N	Y
248	hsa-mir-1287	28.539	3	25	N	N	N
249	hsa-mir-378e	29.572	3	26	N	N	N
250	hsa-mir-320b	23.159	3	20	N	N	N
251	hsa-mir-671-3p	26.867	3	24	N	N	N
252	hsa-mir-374a-5p	26.194	3	23	N	N	N
253	hsa-mir-450a-5p	33.316	3	30	N	N	N
254	hsa-mir-3613-3p	30.595	3	27	N	N	N
255	hsa-mir-342-3p	24.924	3	22	N	N	N
256	hsa-mir-3689a-5p	28.686	3	26	N	N	N
257	hsa-mir-4302	33.183	3	30	N	N	N
258	hsa-mir-183-5p	26.688	3	23	N	N	N
259	hsa-mir-27b-3p	24.102	3	21	N	N	N
260	hsa-mir-15b-5p	20.310	3	17	N	N	N
261	hsa-mir-424-5p	23.053	3	20	N	N	N
262	hsa-mir-373-5p	22.467	3	19	N	N	N
263	hsa-mir-374b-5p	25.352	3	22	N	N	N
264	hsa-mir-375	27.506	3	24	N	N	N
265	hsa-mir-574-3p	25.428	3	22	N	N	N
266	hsa-mir-4524a-3p	Undetermined	3	39	Y	Y	N
267	hsa-mir-191-3p	35.104	3	32	N	N	N
268	hsa-mir-17-5p	24.632	3	21	N	N	N
269	hsa-mir-7-1-3p	31.162	3	28	N	N	N
270	hsa-mir-720	25.432	3	22	N	N	N
271	hsa-mir-675-3p	26.734	3	23	N	N	N
272	hsa-mir-128	27.447	3	24	N	N	N
273	hsa-mir-23b-5p	33.307	3	30	N	N	N
274	hsa-mir-181c-3p	31.895	3	29	N	N	N
275	hsa-let-7f-5p	24.199	3	21	N	N	N
276	hsa-mir-1225-3p	26.883	3	24	N	N	N
277	hsa-mir-301b	Undetermined	3	39	Y	Y	N
278	hsa-mir-26b-5p	23.500	3	20	N	N	N
279	hsa-mir-885-5p	28.037	3	25	N	N	N
280	hsa-mir-4286	27.968	3	25	N	N	N
281	hsa-mir-3622a-5p	26.998	3	24	N	N	N
282	hsa-mir-3185	26.723	3	24	N	N	N
283	hsa-mir-629-5p	28.131	3	25	N	N	N
284	hsa-mir-4296	29.213	3	26	N	N	N
285	hsa-mir-31-5p	30.790	3	28	N	N	N
286	hsa-mir-483-5p	27.830	3	25	N	N	N
287	hsa-mir-23a-3p	20.322	3	17	N	N	N
288	hsa-mir-301a-3p	Undetermined	3	39	Y	Y	N
289	hsa-mir-181d	32.399	3	29	N	N	N
290	hsa-mir-99a-5p	25.529	3	22	N	N	N
291	hsa-mir-330-5p	29.142	3	26	N	N	Y
292	hsa-mir-335-5p	26.017	3	23	N	N	N
293	hsa-mir-4289	32.125	3	29	N	N	N
294	hsa-mir-146b-5p	27.609	3	24	N	N	N
295	hsa-mir-744-5p	24.310	3	21	N	N	N
296	hsa-mir-2355-5p	Undetermined	3	39	Y	Y	N
297	hsa-mir-16-5p	20.629	3	17	N	N	N
298	hsa-mir-490-3p	19.803	3	17	N	N	N
299	hsa-mir-34c-3p	26.612	3	23	N	N	N
300	hsa-mir-136-5p	32.842	3	30	N	N	N
301	hsa-mir-106b-5p	25.257	3	22	N	N	N
302	hsa-mir-196b-3p	28.962	3	26	N	N	N
303	hsa-mir-378a-5p	31.782	3	28	N	N	N
304	hsa-mir-145-3p	28.974	3	26	N	N	N
305	hsa-mir-320e	27.663	3	25	N	N	N
306	hsa-mir-874	35.763	3	33	N	N	N
307	hsa-mir-4274	27.606	3	24	N	N	N
308	hsa-mir-200a-3p	Undetermined	3	39	Y	Y	N
309	hsa-mir-340-3p	28.192	3	25	N	N	N
310	hsa-mir-1260b	26.793	3	24	N	N	N
311	hsa-mir-126-3p	21.016	3	18	N	N	N
312	hsa-mir-326	30.487	3	27	N	N	N
313	hsa-mir-223-3p	18.427	3	15	N	N	N
314	hsa-mir-219-1-3p	30.473	3	27	N	N	N
315	hsa-mir-25-3p	20.035	3	17	N	N	N
316	hsa-mir-210	31.953	3	29	N	N	N
